IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
DWF LLP                                                     ~DWF LLP                                 ~                                        ~1 Scott Place, 2 Hardman Street -       ~                                        ~MANCHESTER M3 3AA                       ~ ~MANCHESTER                      ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
CLYDE & CIE CANDADA S.E.N.C.R.                              ~CLYDE & CIE CANADA SENCRL               ~                                        ~630 boul René-Lévesque O bureau 1700 -  ~                                        ~Montréal QC H3B 1S6                     ~H3B 1S6~Montréal                        ~CAN~QC 
CHRISTENSEN HSU SIPES LLP                                   ~CHRISTENSEN HSU SPIES LLP               ~                                        ~135 South LaSalle Street 4200           ~                                        ~Chicago IL 60603                        ~ ~Chicago                         ~USA~IL 
HALL MAINES HOUSTON                                         ~HALL MAINES LUGRIN                      ~                                        ~Williams Tower, 64th Floor, 2800 Post   ~Oak Boulevard                           ~Houston TX 77056                        ~77056~Houston                         ~USA~TX 
TERRIGAL PRESBYTERIAN CHU                                   ~TERRIGAL PRESBYTERIAN CHURCH            ~                                        ~2 Willoughby Rd                         ~                                        ~NSW 2260                                ~ ~Terrigal                        ~AUS~   
MA TOP RYDE CITY TRUST                                      ~MA TOP RYDE CITY TRUST                  ~                                        ~Devlin St & Blaxland Rd                 ~                                        ~NSW 2112                                ~ ~NSW                             ~AUS~   
MCLAIN CROW & ASSOC.                                        ~MCLAIN CROW                             ~                                        ~24919 Canston Ct.                       ~                                        ~Spring TX 77389                         ~77389~Spring                          ~USA~TX 
CHARLES TAYLOR - CTA                                        ~CHARLES TAYLOR ADJUSTING LTD            ~                                        ~2 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7BB                         ~ ~LONDON                          ~GBR~   
INTEGRA                                                     ~INTEGRA TECHNICAL SERVICES              ~                                        ~148 Leadenhall Street                   ~                                        ~London EC3V 4QT                         ~ ~London                          ~GBR~   
INTEGRA                                                     ~INTEGRA TECHNICAL SERVICES              ~                                        ~148 Leadenhall Street                   ~                                        ~London EC3V 4QT                         ~ ~London                          ~GBR~   
WILLIS TOWERS WATSON SA/NV                                  ~WILLIS TOWERS WATSON                    ~                                        ~Quai des Vennes 18-20 -                 ~                                        ~4020 Liège                              ~4020~Liège                           ~BEL~   
Fields Howell LLP                                           ~FIELDS, HOWELL, ATHANS & MCLAUGHLIN, LLP~                                        ~191 Peachtree Street NE, Suite 4600     ~                                        ~Atlanta GA 30303                        ~30303~Atlanta                         ~USA~GA 
WOTTON AND KEARNEY                                          ~WOTTON & KEARNEY                        ~                                        ~Level 26, 85 Castlereagh Street         ~                                        ~Sydney NSW 2000                         ~ ~Sydney                          ~AUS~   
UNIQUE INS SOLUTIONS LTD                                    ~UNIQUE INSURANCE SOLUTIONS LIMITED      ~                                        ~Orchard House                           ~66a Victoria Road                       ~Chelmsford                              ~ ~Essex   CM1 1PA                 ~GBR~   
CHARLES TAYLOR - CTA                                        ~CHARLES TAYLOR ADJUSTING LTD            ~                                        ~88 Leadenhall Street                    ~                                        ~LONDON EC3A 3BA                         ~ ~LONDON                          ~GBR~   
GALLAGHER LONDON                                            ~ARTHUR J. GALLAGHER (UK) LIMITED        ~                                        ~9 Alie Street                           ~                                        ~London E1 8DE                           ~ ~LONDON                          ~GBR~   
CRAWFORD                                                    ~CRAWFORD                                ~                                        ~CNZ ( Auckland ) Ltd                    ~PO Box 3744 Wellesley street            ~Auckland 1141                           ~ ~Auckland                        ~NZL~   
ORORA LIMITED                                               ~ORORA LIMITED                           ~                                        ~109 - 133 Burwood Road Hawthorn         ~                                        ~Victoria 3122                           ~ ~Hawthorn                        ~AUS~   
BELL GULLY                                                  ~BELL GULLY                              ~                                        ~Auckland Vero Centre,48 Shortland Street~PO Box 4199                             ~Auckland 1140                           ~ ~Auckland                        ~NZL~   
SENATOR GROUP                                               ~SENATOR INSURANCE SERVICES LIMITED      ~                                        ~14 Fenchurch Avenue                     ~                                        ~London  EC3M 5BS                        ~ ~London                          ~GBR~   
CRAWFORD                                                    ~CRAWFORD                                ~                                        ~CNZ ( Auckland ) Ltd                    ~PO Box 3744 Wellesley street            ~Auckland 1141                           ~ ~Auckland                        ~NZL~   
CRAWFORD                                                    ~CRAWFORD                                ~                                        ~CNZ ( Auckland ) Ltd                    ~PO Box 3744 Wellesley street            ~Auckland 1141                           ~ ~Auckland                        ~NZL~   
BELL GULLY                                                  ~BELL GULLY                              ~                                        ~Auckland Vero Centre,48 Shortland Street~PO Box 4199                             ~Auckland 1140                           ~ ~Auckland                        ~NZL~   
BUCHANAN CLARK SCHLADER CPA LL                              ~BUCHANAN CLARKE SCHLADER LLP            ~                                        ~1312 Glade Road, Colleyville            ~                                        ~Dallas TX 76034                         ~76034~Dallas                          ~USA~TX 
BUCHANAN CLARK SCHLADER CPA LL                              ~BUCHANAN CLARKE SCHLADER LLP            ~                                        ~1312 Glade Road, Colleyville            ~                                        ~Dallas TX 76034                         ~76034~Dallas                          ~USA~TX 
BUCHANAN CLARK SCHLADER CPA LL                              ~BUCHANAN CLARKE SCHLADER LLP            ~                                        ~1312 Glade Road, Colleyville            ~                                        ~Dallas TX 76034                         ~76034~Dallas                          ~USA~TX 
CLYDE & CO US LLP                                           ~CLYDE & CO US LLP                       ~                                        ~101 Second Street, 24th Floor           ~                                        ~San Francisco CA 94105                  ~ ~San Francisco                   ~USA~CA 
BATESCAREY LLP                                              ~BATES CAREY LLP                         ~                                        ~191 North Wacker, Suite 2400            ~                                        ~Chicago IL 60606                        ~60606~Chicago                         ~USA~IL 
ATHERIA LAW P.C. OPERATIONS AC                              ~ATHERIA LAW P.C.                        ~                                        ~595 MARKET STREET                       ~SUITE 1300                              ~94105                                   ~ ~SAN FRANCISCO                   ~USA~CA 
Lloyd Warwick International So                              ~LLOYD WARWICK                           ~                                        ~The Gabba, 2nd Floor, The Campus, 57    ~Sloane Street, Bryanston                ~Johannesburg 2191                       ~ ~Johannesburg                    ~ZAF~   
Lloyd Warwick International So                              ~LLOYD WARWICK                           ~                                        ~The Gabba, 2nd Floor, The Campus, 57    ~Sloane Street, Bryanston                ~Johannesburg 2191                       ~ ~Johannesburg                    ~ZAF~   
KENNEDY CMK                                                 ~KENNEDY'S AND CAROLL MCNULTY & KULL LLC ~                                        ~120 Mountain View Boulevard, PO Box 650,~Basking Ridge                           ~New Jersey NJ 07920                     ~ ~New Jersey                      ~USA~NJ 
CRAWFORD                                                    ~CRAWFORD                                ~                                        ~CNZ ( Auckland ) Ltd                    ~PO Box 3744 Wellesley street            ~Auckland 1141                           ~ ~Auckland                        ~NZL~   
KENNEDYS                                                    ~KENNEDYS LAW                            ~                                        ~25 Fenchurch Avenue                     ~                                        ~London EC3M 5AD                         ~ ~London                          ~GBR~   
LEADENHALL LIMITED                                          ~LEADENHALL LIMITED                      ~                                        ~9 PERSEVERANCE WORKS                    ~38 KINGSLAND ROAD                       ~E2 8DD                                  ~ ~LONDON                          ~GBR~   
NORDIC FORSAKRING & RISKHANTER                              ~NORDIC FÖRSÄKRING & RISKHANTERING AB    ~                                        ~Mölndalsvägen 22 -                      ~                                        ~412 63 Göteborg                         ~ ~Göteborg                        ~SWE~   
CHARLES TAYLOR - CTA                                        ~CHARLES TAYLOR ADJUSTING LTD            ~                                        ~88 Leadenhall Street                    ~                                        ~LONDON EC3A 3BA                         ~ ~LONDON                          ~GBR~   
CRAWFORD & CO (AUSTRALIA)                                   ~CRAWFORD & COMPANY (AUSTRALIA) PTY LTD  ~                                        ~527 Gregory Terrace                     ~Level 1 North Tower                     ~Fortitude Valley, QLD 4006 AU           ~ ~FORTITUDE VALLEY                ~AUS~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
OTTER AUDIT & CONSULTANCY SERVICES                          ~OTTER AUDIT AND CONSULTANCY SERVICES LTD~                                        ~64 Southwark Bridge Road                ~                                        ~LONDON SE1 0AS                          ~ ~LONDON                          ~GBR~ENG
TYSERS trading via INTEGRO INS BRK LTD NST CLIET FUNDS      ~TYSERS INSURANCE BROKERS LIMITED        ~                                        ~71 Fenchurch Street -                   ~                                        ~LONDON EC3M 4BS                         ~EC3M 4BS~LONDON                          ~GBR~   
CASTEL UNDERWRITING AGENCIES LIMITED - GBP CLAIMS           ~RYAN SPECIALTY UNDERWRITING MANAGERS    ~INTERNATIONAL LIMITED                   ~GROUND FLOOR - 60 GREAT TOWER STREET    ~                                        ~LONDON EC3R 5AZ                         ~EC3A 7AW~LONDON                          ~GBR~ENG
CASTEL UNDERWRITING AGENCES LIMITED                         ~RYAN SPECIALTY UNDERWRITING MANAGERS    ~INTERNATIONAL LIMITED                   ~GROUND FLOOR - 60 GREAT TOWER STREET    ~                                        ~LONDON EC3R 5AZ                         ~EC3A 7AW~LONDON                          ~GBR~ENG
SCOR PREMIUM                                                ~ARAG PLC                                ~                                        ~9 Whiteladies Road Clifton Bristol BS8  ~1NN                                     ~Brisol                                  ~ ~Brisol                          ~GBR~ENG
CRAWFORD (HK)                                               ~CRAWFORD (HONG KONG) LTD.               ~                                        ~24/F., Sunshine Plaza                   ~353 Lockhart Road, Wanchai              ~Hong Kong                               ~ ~Hong Kong                       ~HKG~   
CRAWFORD (HK)                                               ~CRAWFORD (HONG KONG) LTD.               ~                                        ~24/F., Sunshine Plaza                   ~353 Lockhart Road, Wanchai              ~Hong Kong                               ~ ~Hong Kong                       ~HKG~   
SENATOR GROUP                                               ~SENATOR INSURANCE SERVICES LIMITED      ~                                        ~14 Fenchurch Avenue                     ~                                        ~London  EC3M 5BS                        ~ ~London                          ~GBR~   
CUNNINGHAM LINDSEY NZ                                       ~CUNNINGHAM LINDSEY NEW ZEALAND LTD      ~                                        ~Level 5&6, Cnr Kent & Crowhurst Streets ~Newmarket                               ~Auckland                                ~ ~Auckland                        ~NZL~   
CRAWFORD                                                    ~CRAWFORD                                ~                                        ~CNZ ( Auckland ) Ltd                    ~PO Box 3744 Wellesley street            ~Auckland 1141                           ~ ~Auckland                        ~NZL~   
INTEGRA NEW ZEALAND                                         ~INTEGRA NEW ZEALAND                     ~                                        ~Level 27 PWC Tower                      ~188 Quay St.                            ~1010                                    ~ ~Auckland                        ~NZL~   
CUNNINGHAM LINDSEY NZ                                       ~CUNNINGHAM LINDSEY NEW ZEALAND LTD      ~                                        ~Level 5&6, Cnr Kent & Crowhurst Streets ~Newmarket                               ~Auckland                                ~ ~Auckland                        ~NZL~   
R.J. NELLIGAN & ASSOCIATE                                   ~R.J. NELLIGAN & ASSOCIATES LTD          ~                                        ~1/1 BURNS AVENUE                        ~                                        ~TAKAPUNA                                ~ ~AUCKLAND                        ~NZL~   
CRAWFORD                                                    ~CRAWFORD                                ~                                        ~CNZ ( Auckland ) Ltd                    ~PO Box 3744 Wellesley street            ~Auckland 1141                           ~ ~Auckland                        ~NZL~   
SEDGWICK LLP                                                ~SEDGWICK LLP                            ~                                        ~2301 McGee Street, Suite 500            ~                                        ~Kansas City, Missouri 64108-2662        ~ ~Kansas City, Missouri           ~USA~MO 
CHUBB NEW ZEALAND                                           ~CHUBB INSURANCE NEW ZEALAND LIMITED     ~                                        ~CU1–3, Shed 24 Princes Wharf Auckland   ~1010                                    ~Auckland 1010                           ~ ~Auckland                        ~NZL~   
CHARLES TAYLOR - CTA                                        ~CHARLES TAYLOR ADJUSTING LTD            ~                                        ~88 Leadenhall Street                    ~                                        ~LONDON EC3A 3BA                         ~ ~LONDON                          ~GBR~   
KENNEDYS                                                    ~KENNEDYS LAW                            ~                                        ~25 Fenchurch Avenue                     ~                                        ~London EC3M 5AD                         ~ ~London                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
INTEGRA NEW ZEALAND                                         ~INTEGRA NEW ZEALAND                     ~                                        ~Level 27 PWC Tower                      ~188 Quay St.                            ~1010                                    ~ ~Auckland                        ~NZL~   
TPA GODFREYS                                                ~TPA GODFREYS                            ~                                        ~Level 4 Gibson Sheat Centre             ~81 Queens drive Lower Hutt 5010         ~PO Box 38 600                           ~ ~Wellington                      ~NZL~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
IUA                                                         ~INT'L UNDERWRITING ASSOC OF LONDON      ~                                        ~1 Minster Court Mincing Lane            ~                                        ~LONDON EC3R 7AA                         ~ ~LONDON                          ~GBR~   
UNIQUE INSURANCE SOLUTIONS LTD                              ~UNIQUE INSURANCE SOLUTIONS LIMITED      ~                                        ~Orchard House                           ~66a Victoria Road                       ~Chelmsford                              ~ ~Essex   CM1 1PA                 ~GBR~   
SENATOR GROUP                                               ~SENATOR INSURANCE SERVICES LIMITED      ~                                        ~14 Fenchurch Avenue                     ~                                        ~London  EC3M 5BS                        ~ ~London                          ~GBR~   
GALLAGHER LONDON                                            ~ARTHUR J. GALLAGHER (UK) LIMITED        ~                                        ~9 Alie Street                           ~                                        ~London E1 8DE                           ~ ~LONDON                          ~GBR~   
Vitesse Re MP_ManyPets_SCOR Funding Account_GBP             ~SEDGWICK INTERNATIONAL UK               ~                                        ~60 Fenchurch Street                     ~                                        ~London EC3M 4AD                         ~EC3M 4AD~London                          ~GBR~   
Vitesse Re MP_ManyPets_SCOR Funding Account_GBP             ~SEDGWICK INTERNATIONAL UK               ~                                        ~60 Fenchurch Street                     ~                                        ~London EC3M 4AD                         ~EC3M 4AD~London                          ~GBR~   
GALLAGHER RE (UK)                                           ~NORDIC FORSAKRING & RISKHANTERING AB    ~                                        ~The Walbrook Building - 25 Walbrook     ~                                        ~LONDON EC4N 8AW                         ~ ~LONDON                          ~GBR~   
WOOLWORTHS GROUP LIMITED                                    ~WOOLWORTHS GROUP LIMITED                ~                                        ~1 Woolworths Way -                      ~                                        ~Bella Vista 2153                        ~ ~Bella Vista                     ~AUS~   
Vitesse Re SIUKTrust Castel MGA Claims GBP 2021 GBP         ~SEDGWICK INTERNATIONAL UK               ~                                        ~60 Fenchurch Street                     ~                                        ~London EC3M 4AD                         ~EC3M 4AD~London                          ~GBR~   
ARAG                                                        ~ARAG PLC                                ~                                        ~9 Whiteladies Road Clifton Bristol BS8  ~1NN                                     ~Brisol                                  ~ ~Brisol                          ~GBR~ENG
MILLER INS SERVICES LLP                                     ~MILLER INSURANCE SERVICES LLP           ~                                        ~70, Mark Lane                           ~                                        ~LONDON EC3R 7NQ                         ~ ~LONDON                          ~GBR~   
LOCKTON RE LLP                                              ~LOCKTON COMPANIES LLP                   ~                                        ~The St. Botolph Building - 138          ~Houndsditch                             ~LONDON EC3A 7AG                         ~EC3A 7AG~LONDON                          ~GBR~   
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~Tower Place West -                      ~                                        ~LONDON EC3R 5BU                         ~ ~LONDON                          ~GBR~   
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~1 Tower Place West                      ~                                        ~London EC3R 5BU                         ~ ~LONDON                          ~GBR~   
MARSH LTD                                                   ~MARSH LIMITED                           ~                                        ~Tower Place West -                      ~                                        ~LONDON EC3R 5BU                         ~ ~LONDON                          ~GBR~   
CLYDE & CO                                                  ~CLYDE & CO                              ~                                        ~St Botolph Building 138 Houndsditch     ~                                        ~London EC3A 7AR                         ~ ~London                          ~GBR~   
Clyde & Co                                                  ~CLYDE & CO                              ~                                        ~St Botolph Building 138 Houndsditch     ~                                        ~London EC3A 7AR                         ~ ~London                          ~GBR~   
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   
WILLIS LTD (LONDON HQ)                                      ~WILLIS LIMITED                          ~                                        ~Friars Street                           ~                                        ~Ipswich IP1 1TA Suffolk                 ~ ~Ipswich                         ~GBR~   
SCOR GLOBAL P&C SE                                          ~SGP&C SE HEAD OFFICE                    ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   
SCOR SE PC SEGMENT                                          ~SGP&C SE HEAD OFFICE                    ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   
SCOR EUROPE SE                                              ~SCOR EUROPE SE                          ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   
SCOR EUROPE SE                                              ~SCOR EUROPE SE                          ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   
AON UK LTD                                                  ~AON UK LIMITED                          ~                                        ~55 Bishopsgate                          ~                                        ~London EC2N 3BD                         ~ ~London                          ~GBR~   
ARTHUR J GALLAGHER CAPSICUM RE                              ~NORDIC FORSAKRING & RISKHANTERING AB    ~                                        ~The Walbrook Building - 25 Walbrook     ~                                        ~LONDON EC4N 8AW                         ~ ~LONDON                          ~GBR~   
INTACT                                                      ~INTACT FINANCIAL CORPORATION            ~                                        ~2450, rue Girouard Ouest                ~                                        ~Saint-Hyacinthe QC J2S 3B3              ~J2S 3B3~Saint-Hyacinthe                 ~CAN~QC 
ARTHUR J GALLAGHER CAPSICUM RE                              ~NORDIC FORSAKRING & RISKHANTERING AB    ~                                        ~The Walbrook Building - 25 Walbrook     ~                                        ~LONDON EC4N 8AW                         ~ ~LONDON                          ~GBR~   
TYSERS trading via INTEGRO INS BRK LTD NST CLIENT FUNDS     ~TYSERS INSURANCE BROKERS LIMITED        ~                                        ~71 Fenchurch Street -                   ~                                        ~LONDON EC3M 4BS                         ~EC3M 4BS~LONDON                          ~GBR~   
McLarens Canada Inc.                                        ~MCLARENS CANADA INC.                    ~                                        ~366 ADELAIDE STREET WEST                ~SUITE 700                               ~M5V 1R9                                 ~M5V 1R9~TORONTO                         ~CAN~ON 
Reinsurance Management Associates, Inc.                     ~REINSURANCE MANAGEMENT ASSOCIATES INC   ~                                        ~170 University Avenue Suite 500 5th     ~Floor                                   ~Toronto ON M5H 3B3                      ~ ~Toronto                         ~CAN~ON 
UNIVERSITY OF MANITOBA                                      ~UNIVERSITY OF MANITOBA                  ~                                        ~638 Drake Centre                        ~                                        ~Winnipeg MB R3T 2N2                     ~R3T 2N2~Winnipeg                        ~CAN~MB 
CASTEL UNDERWRITING AGENCIES LIMITED - USD OFFICE           ~RYAN SPECIALTY UNDERWRITING MANAGERS    ~INTERNATIONAL LIMITED                   ~GROUND FLOOR - 60 GREAT TOWER STREET    ~                                        ~LONDON EC3R 5AZ                         ~EC3A 7AW~LONDON                          ~GBR~ENG
MGB CLAIMS CONSULTANTS IN                                   ~MGB CLAIMS CONSULTANTS INC              ~                                        ~366 ADELAIDE STREET WEST                ~SUITE 700                               ~M5V 1R9                                 ~M5V 1R9~TORONTO                         ~CAN~ON 
MILLER THOMSON LLP                                          ~MILLER THOMSON LLP                      ~SCOTIA PLAZA                            ~40 King Street West, Suite 5800         ~P.O. Box 1011                           ~M5H 3S1                                 ~M5H 3S1~Toronto                         ~CAN~ON 
INDEMNIPRO LP                                               ~INDEMNIPRO LP                           ~                                        ~Suite 101, 575- 100 Street SW           ~                                        ~Edmonton AB T6X 0S8                     ~T6X 0S8~Edmonton                        ~CAN~AB 
CHARLES TAYLOR ADJUSTING                                    ~CHARLES TAYLOR ADJUSTING LIMITED        ~                                        ~10 King Street E Suite 900              ~                                        ~Toronto ON M5C 1C3                      ~M5C 1C3~Toronto                         ~CAN~ON 
MGB CLAIMS CONSULTANTS IN                                   ~MGB CLAIMS CONSULTANTS INC              ~                                        ~366 ADELAIDE STREET WEST                ~SUITE 700                               ~M5V 1R9                                 ~M5V 1R9~TORONTO                         ~CAN~ON 
PRAIRIE ARCHITECTS INC                                      ~PRAIRIE ARCHITECTS                      ~                                        ~101-139 MARKET AVENUE                   ~                                        ~WINNIPEG R3B 0P5                        ~R3B 0P5~WINNIPEG                        ~CAN~MB 
DELEGATED  AUTHORITY ADVI                                   ~DELEGATED  AUTHORITY ADVISORY LIMITED   ~                                        ~9 Stratfield Park Elettra Avenue        ~Waterlooville                           ~PO7 7XN                                 ~PO7 7XN~Hampshire                       ~GBR~   
DELEGATED  AUTHORITY ADVI                                   ~DELEGATED  AUTHORITY ADVISORY LIMITED   ~                                        ~9 Stratfield Park Elettra Avenue        ~Waterlooville                           ~PO7 7XN                                 ~PO7 7XN~Hampshire                       ~GBR~   
CLYDE & CO                                                  ~CLYDE & CO                              ~                                        ~St Botolph Building 138 Houndsditch     ~                                        ~London EC3A 7AR                         ~EC3A 7AR~London                          ~GBR~   
CLYDE & CO                                                  ~CLYDE & CO                              ~                                        ~St Botolph Building 138 Houndsditch     ~                                        ~London EC3A 7AR                         ~EC3A 7AR~London                          ~GBR~   
CORPORATION OF LLOYDS                                       ~LLOYD'S OF LONDON                       ~                                        ~1 Lime Street                           ~                                        ~LONDON EC3M 7HA                         ~EC3M 7HA~LONDON                          ~GBR~   
WILLIS LIMITED                                              ~WILLIS LIMITED                          ~                                        ~30 FENCHURCH AVENUE -                   ~                                        ~LONDON EC3M 5AD                         ~EC3M 7DQ~LONDON                          ~GBR~   
SCOR CANADA                                                 ~SCOR CANADA REINSURANCE COMPANY         ~                                        ~199 Bay Street, Suite 2800              ~P.O.Box 329, Commerce Court Postal St   ~Toronto, ON    M5L 1G1                  ~M5J 2S1~Toronto                         ~CAN~ON 
SCOR CANADA                                                 ~SCOR CANADA REINSURANCE COMPANY         ~                                        ~199 Bay Street, Suite 2800              ~P.O.Box 329, Commerce Court Postal St   ~Toronto, ON    M5L 1G1                  ~M5J 2S1~Toronto                         ~CAN~ON 
SCOR EUROPE SE                                              ~SCOR EUROPE SE                          ~                                        ~5 avenue Kléber                         ~                                        ~75016 PARIS                             ~75016~PARIS                           ~FRA~   
MARSH S.A.S                                                 ~MARSH & MCLENNAN COMPANIES FRANCE       ~                                        ~TOUR ARIANE LA DEFENSE 9 - 5 PLACE DE LA~PYRAMIDE                                ~92800 PUTEAUX                           ~280582 F~PUTEAUX                         ~FRA~   
AON RISK CONSULTANTS BV                                     ~AON GLOBAL RISK CONSULTING B.V.         ~                                        ~Admiraliteitskade 62                    ~                                        ~3063 ED ROTTERDAM                       ~ ~ROTTERDAM                       ~NLD~   
MARSH S.A.S                                                 ~MARSH & MCLENNAN COMPANIES FRANCE       ~                                        ~TOUR ARIANE LA DEFENSE 9 - 5 PLACE DE LA~PYRAMIDE                                ~92800 PUTEAUX                           ~280582 F~PUTEAUX                         ~FRA~   
SENATOR GROUP                                               ~SENATOR INSURANCE SERVICES LIMITED      ~                                        ~14 Fenchurch Avenue                     ~                                        ~London  EC3M 5BS                        ~ ~London                          ~GBR~   
CR NORDIC                                                   ~CAMBIASO RISSO NORDIC                   ~                                        ~Fortunen 1                              ~                                        ~5013 Bergen                             ~ ~Bergen                          ~NOR~   
CR NORDIC                                                   ~CAMBIASO RISSO NORDIC                   ~                                        ~Fortunen 1                              ~                                        ~5013 Bergen                             ~ ~Bergen                          ~NOR~   
